@[ LOG ][2013-12-21 12:27:03:598]: 	Program start.
@[ERROR][2013-12-21 17:03:28:406]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:03:30:180]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:03:48:597]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:03:49:377]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:03:50:754]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:03:55:079]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:03:56:508]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:03:56:826]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:03:57:695]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:03:57:931]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:03:58:690]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:03:59:918]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:04:02:299]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:04:02:345]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:04:02:699]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:04:03:518]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:04:06:334]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:04:06:736]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:04:10:078]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:04:12:934]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:04:14:597]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:04:15:947]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:04:16:181]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:04:30:150]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=20-&node=3237803011	:Read timed out
@[ERROR][2013-12-21 17:04:34:088]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 17:04:37:134]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=40-&node=281056	:Read timed out
@[ERROR][2013-12-21 17:04:50:277]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=20-&node=3237803011	:Read timed out
@[ERROR][2013-12-21 17:04:50:985]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 17:04:51:917]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 17:04:52:782]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 17:04:53:929]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172659&search-alias=electronics	:Read timed out
@[ERROR][2013-12-21 17:04:55:305]: 	can not load URL. : http://www.amazon.com/s/ref=s9_nwrsa_gw_clnk?node=2858905011&search-alias=instant-video&field-is_prime_benefit=2470955011&bbn=2858905011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=center-2&pf_rd_r=0KZN98STBGGVVVR0Z2XD&pf_rd_t=101&pf_rd_p=1263340922&pf_rd_i=507846	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-is_prime_benefit=2470955011&page=1&rh=n%3A2858905011%2Cp_85%3A2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011%7C2470955011
@[ERROR][2013-12-21 17:04:58:141]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=40-&node=760796	:Read timed out
@[ERROR][2013-12-21 17:04:58:500]: 	can not load URL. : http://www.amazon.com/s/ref=ce_overstock_20/?_encoding=UTF8&field-enc-merchantbin=ATVPDKIKX0DER&hidden-keywords=B004J3Y9U6%7CB004J3V90Y%7CB00DMS0GTC%7CB00DMS0LCO%7CB00BW6LX20%7CB007FGYZFI%7CB009B0MZ1M%7CB0076BNK30%7CB0040JHVCC%7CB009B0MZG2%7CB007FGZ1V0%7CB0049WJWJ0%7CB00BW6LTG0%7CB004M170YC%7CB00BW6LWO4%7CB002NEGTTW%7CB009B0MZ8U%7CB001CCAISE%7CB0040JHVC2%7CB00009XVCZ%7CB005Y3T1AI%7CB0011NVMO8%7CB0033PRWSW%7CB002NEGTU6%7CB00EFILHB4%7CB00007E7JU%7CB00B5HE3IW%7CB00EFILNV8%7CB00B5HE3AK%7CB007FH1KX2&rh=i%3Aphoto%2Cn%3A502394	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-enc-merchantbin=ATVPDKIKX0DER&hidden-keywords=B004J3Y9U6%7CB004J3V90Y%7CB00DMS0GTC%7CB00DMS0LCO%7CB00BW6LX20%7CB007FGYZFI%7CB009B0MZ1M%7CB0076BNK30%7CB0040JHVCC%7CB009B0MZG2%7CB007FGZ1V0%7CB0049WJWJ0%7CB00BW6LTG0%7CB004M170YC%7CB00BW6LWO4%7CB002NEGTTW%7CB009B0MZ8U%7CB001CCAISE%7CB0040JHVC2%7CB00009XVCZ%7CB005Y3T1AI%7CB0011NVMO8%7CB0033PRWSW%7CB002NEGTU6%7CB00EFILHB4%7CB00007E7JU%7CB00B5HE3IW%7CB00EFILNV8%7CB00B5HE3AK%7CB007FH1KX2&page=1&rh=n%3A502394%2Cp_6%3AATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER
@[ERROR][2013-12-21 17:05:10:270]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8149194011	:Read timed out
@[ERROR][2013-12-21 17:05:10:651]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8149194011	:Read timed out
@[ERROR][2013-12-21 17:05:13:979]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8160259011	:Read timed out
@[ERROR][2013-12-21 17:05:14:085]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8160259011	:Read timed out
@[ERROR][2013-12-21 17:05:16:186]: 	can not load URL. : http://www.amazon.com/b/ref=ce_overstock_23/?_encoding=UTF8&node=8159376011	:Read timed out
@[ERROR][2013-12-21 17:05:16:821]: 	can not load URL. : http://www.amazon.com/b/ref=ce_overstock_21/?_encoding=UTF8&node=8159357011	:Read timed out
@[ERROR][2013-12-21 17:05:17:216]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8141771011	:Read timed out
@[ERROR][2013-12-21 17:05:17:342]: 	can not load URL. : http://www.amazon.com/b/ref=ce_overstock_22/?_encoding=UTF8&node=8159371011	:Read timed out
@[ERROR][2013-12-21 17:05:17:591]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8141771011	:Read timed out
@[ERROR][2013-12-21 17:05:20:827]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8158714011	:Read timed out
@[ERROR][2013-12-21 17:05:20:960]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=8158714011	:Read timed out
@[ERROR][2013-12-21 17:05:23:716]: 	can not load URL. : http://www.amazon.com/Outlet-Electronics/b?ie=UTF8&node=301793	:Read timed out
@[ERROR][2013-12-21 17:05:32:838]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-5000%60&node=3236445011	:Read timed out
@[ERROR][2013-12-21 17:05:34:497]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-10000&node=13447451	:Read timed out
@[ERROR][2013-12-21 17:05:35:079]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-10000&node=13447451	:Read timed out
@[ERROR][2013-12-21 17:05:35:682]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-10000&node=13447451	:Read timed out
@[ERROR][2013-12-21 17:05:36:203]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-10000&node=352697011	:Read timed out
@[ERROR][2013-12-21 17:05:36:854]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-10000&node=3236451011	:Read timed out
@[ERROR][2013-12-21 17:05:39:211]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-20000&node=3237803011	:Read timed out
@[ERROR][2013-12-21 17:05:39:727]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-20000&node=14269301	:Read timed out
@[ERROR][2013-12-21 17:05:41:015]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=20000-50000&node=172572	:Read timed out
@[ERROR][2013-12-21 17:05:41:857]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=20000-50000&node=172572	:Read timed out
@[ERROR][2013-12-21 17:05:42:227]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=20000-50000&node=172572	:Read timed out
@[ERROR][2013-12-21 17:05:43:574]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-50000&node=281056	:Read timed out
@[ERROR][2013-12-21 17:05:44:578]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-price-mp-owner-bin=00000-50000&node=300334	:Read timed out
@[ERROR][2013-12-21 17:05:48:517]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:06:08:357]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:06:10:141]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:06:10:530]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:06:12:197]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:06:15:698]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:06:16:076]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:06:17:275]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:06:18:352]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:06:37:364]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:06:38:009]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:06:39:517]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:06:42:629]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:06:45:195]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:06:45:729]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:06:45:749]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:06:45:931]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:06:46:686]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:06:46:723]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:06:50:613]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:06:51:257]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:06:51:259]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:06:52:108]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:06:54:545]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:06:55:331]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:06:58:261]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:07:00:735]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:07:03:065]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:07:04:874]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:07:05:227]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:07:21:920]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:07:46:201]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:07:48:037]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:07:48:849]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:07:49:447]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:07:52:936]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:07:53:329]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:07:54:962]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:07:56:221]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:08:15:164]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:08:15:440]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:08:17:905]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:08:20:770]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:08:22:889]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:08:23:422]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:08:23:426]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:08:23:690]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:08:24:090]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:08:24:951]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:08:27:994]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:08:28:651]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:08:29:533]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:08:29:645]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:08:32:434]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:08:33:039]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:08:36:475]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:08:39:599]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:08:41:101]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:08:43:323]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:08:44:624]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:09:01:326]: 	java.sql.Statement executing Exception
@[ERROR][2013-12-21 17:09:01:327]: 	Data truncation: Data too long for column 'url' at row 16
@[ERROR][2013-12-21 17:09:02:543]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:09:19:938]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:09:21:884]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:09:22:265]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:09:23:042]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:09:26:619]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:09:26:868]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:09:28:102]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:09:30:327]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:09:49:372]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:09:50:094]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:09:51:866]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:09:56:709]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:09:57:693]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:09:58:013]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:09:58:036]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:09:58:364]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:09:58:738]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:09:58:958]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:10:03:451]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:10:03:648]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:10:04:082]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:10:04:528]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:10:07:092]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:10:07:732]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:10:11:070]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:10:14:038]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:10:15:774]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:10:17:115]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:10:17:515]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:10:38:375]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:10:58:857]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:11:00:985]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:11:01:420]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:11:01:914]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:11:05:632]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:11:06:069]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:11:07:765]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:11:09:364]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:11:27:563]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:11:28:525]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:11:31:300]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
